FiscalVendorId,FiscalVendorCode,VendorName,SierraVendorCode
518,264997,AVERY PUBLISHING GROUP,12138
519,277981,AVONDALE BRANCH PERIODICAL CLA,AVOPERCLAIM
520,268918,AVOTAYNU INC.,8114
521,266972,AWESOME RECORDS,21819
522,267806,AXIOM INFORMATION RESOURCES,22682
523,268921,AYER COMPANY PUBLISHERS,8137
524,267706,AZGAB,22578
525,265945,B SMITH STYLE,20214
526,267612,B.A. DELIVERY SERVICE,22480
527,267317,B&O RAILROAD MUSEUM,22173
528,278018,BABACAR DIOP,v741
529,269983,BABY SCHOLARS,v154
530,281882,BABY SIGNS INC.,v1280
531,279318,BABYGARTEN,v863
532,270210,BABYTALK,v165
533,273491,BACH: JOURNAL OF THE RIEMENSHC,v520
534,272187,BACK HOME IN KENTUCKY,v415
535,268790,BACK STAGE,6919
536,267087,BACKBEAT BOOKS,21937
537,267332,BACKBEAT PRESS,22188
538,281874,BACKHOME MAGAZINE,v1279
539,267266,BACKROAD CHRONICLES,22122
540,268136,BACKWOODS HOME MAGAZINE,23034
541,265247,BACON'S MEDIA DIRECTORIES,15196
542,266826,BAHA'I BOOKSOURCE,21656
543,265422,BAHA'I DISTRIBUTION SERVICE,16962
544,266015,BAIN BOOK COMPANY,20452
545,264849,BAKER & TAYLOR,8343
546,268935,BAKER & TAYLOR,8340
547,265288,BAKER & TAYLOR ENTERTAINMENT,15619
548,265472,BAKER BOOK HOUSE,17440
549,265116,BAKER STREET JOURNAL,13566
550,268936,BAKER'S PLAYS,8358
551,267014,BALCOM BOOKS,21862
552,266009,BALKATHA,20436
553,269005,BALLARD-CARLISLE HISTORICAL-,9936
554,266563,BALTIMORE CHAPTER NRHS,21380
555,268997,BALTIMORE COUNTY GENEALOGICAL,9847
556,272536,BANGZOOM PUBLISHERS,v444
557,265370,BANKRATE INC.,16485
558,268942,BANKS BALDWIN LAW PUBLISHING,8560
559,267714,BANNACK PUBLISHING CO,22586
560,267232,BANNER OF TRUTH,22088
561,264937,BANTAM AUDIO TAPES,11305
562,265523,BAPTIST BIBLE HOUR,17840
563,268944,BAR LIST PUBLISHING,8593
564,282419,BARBARA WRIGHT,v1385
565,268233,BARBARA YATES,23141
566,276792,BARBOUR PUBLISHING,v676
567,265870,BAREFOOT BOOKS,19867
568,268115,BAREHAM & SAUNDERS,23010
569,266900,BARNARD ROBERTS & CO.,21734
570,267109,BARNES & NOBLE,21959
